imdb id,budget,revenue,certification
tt0035423,48000000.0,76019048.0,PG-13
tt0114447,0.0,0.0,
tt0118589,22000000.0,5271666.0,PG-13
tt0118652,1000000.0,0.0,R
tt0119004,0.0,6297.0,
tt0120166,0.0,0.0,NR
tt0120624,0.0,0.0,
tt0120681,35000000.0,74558115.0,R
tt0120737,93000000.0,871368364.0,PG-13
tt0120807,0.0,0.0,
tt0120824,38000000.0,24690441.0,R
tt0123581,0.0,0.0,
tt0124889,0.0,0.0,
tt0125022,35000000.0,57756408.0,PG-13
tt0126029,60000000.0,487853320.0,PG
tt0126899,150000.0,0.0,
tt0128165,0.0,0.0,
tt0132078,0.0,0.0,PG-13
tt0132245,94000000.0,54744738.0,PG-13
tt0133063,0.0,0.0,
tt0133152,100000000.0,362211740.0,PG-13
tt0139654,45000000.0,104900000.0,R
tt0141120,0.0,0.0,
tt0141907,90000000.0,10372291.0,R
tt0146316,115000000.0,274703340.0,PG-13
tt0148415,0.0,0.0,
tt0150021,10000000.0,0.0,R
tt0152083,0.0,0.0,
tt0153533,0.0,0.0,
tt0157007,1400000.0,0.0,
tt0157583,0.0,15705007.0,R
tt0159273,40000000.0,91753202.0,
tt0159378,0.0,0.0,
tt0160275,0.0,0.0,
tt0160399,40000000.0,8694320.0,PG-13
tt0160905,0.0,0.0,
tt0161083,60000000.0,38400000.0,PG-13
tt0161860,0.0,0.0,R
tt0162030,0.0,0.0,R
tt0162203,0.0,0.0,
tt0162346,7000000.0,8800000.0,
tt0163025,93000000.0,368780809.0,
tt0163246,0.0,0.0,
tt0163596,0.0,0.0,
tt0163764,0.0,0.0,
tt0164334,60000000.0,105200000.0,R
tt0164961,0.0,13240767.0,R
tt0165452,0.0,0.0,R
tt0165713,0.0,0.0,
tt0166110,10000000.0,7316658.0,R
tt0166158,4000000.0,6718.0,
tt0166186,100.0,0.0,
tt0166276,75000000.0,5409517.0,PG-13
tt0166924,15000000.0,20271129.0,
tt0167360,0.0,0.0,PG
tt0169102,5200000.0,8100000.0,PG
tt0170008,0.0,0.0,NR
tt0170367,380000.0,0.0,
tt0171339,0.0,0.0,
tt0172543,0.0,0.0,
tt0172995,0.0,0.0,
tt0173498,0.0,0.0,R
tt0173840,137000000.0,85131830.0,PG-13
tt0174732,0.0,0.0,
